word,meaning
archaeology,the branch of anthropology that studies prehistoric people and their cultures
archaeopteryx,extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones; usually considered the most primitive of all birds
archaeopteryxes,extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones; usually considered the most primitive of all birds
archaic,so extremely old as seeming to belong to an earlier period
archaise,give an archaic appearance of character to
archaised,give an archaic appearance of character to
archaises,give an archaic appearance of character to
archaising,give an archaic appearance of character to
archaism,the use of an archaic expression
archaisms,the use of an archaic expression
archaistic,imitative of an archaic style or manner
archaize,give an archaic appearance of character to
archaized,give an archaic appearance of character to
archaizes,give an archaic appearance of character to
archaizing,give an archaic appearance of character to
archangel,an angel ranked above the highest rank in the celestial hierarchy
archangels,an angel ranked above the highest rank in the celestial hierarchy
archbishop,a bishop of highest rank
archbishopric,the territorial jurisdiction of an archbishop
archbishoprics,the territorial jurisdiction of an archbishop
archbishops,a bishop of highest rank
archdeacon,(Anglican Church
archdeacons,(Anglican Church
archdiocese,the diocese of an archbishop
archdioceses,the diocese of an archbishop
archduchess,a wife or widow of an archduke or a princess of the former ruling house of Austria
archduchesses,a wife or widow of an archduke or a princess of the former ruling house of Austria
archduke,a sovereign prince of the former ruling house of Austria
archdukes,a sovereign prince of the former ruling house of Austria
arched,form an arch or curve
archer,a person who is expert in the use of a bow and arrow
archers,a person who is expert in the use of a bow and arrow
archery,the sport of shooting arrows with a bow
arches,a curved shape in the vertical plane that spans an opening
archetypal,representing or constituting an original type after which other similar things are patterned
archetype,something that serves as a model or a basis for making copies
archetypes,something that serves as a model or a basis for making copies
archibald,not found
archie,not found
archiepiscopal,of or associated with an archbishop
archimedes,Greek mathematician and physicist noted for his work in hydrostatics and mechanics and geometry (287-212 BC
arching,form an arch or curve
archipelago,a group of many islands in a large body of water
archipelagos,a group of many islands in a large body of water
architect,someone who creates plans to be used in making something (such as buildings
architectonic,of or pertaining to construction or architecture
architectonics,the science of architecture
architects,someone who creates plans to be used in making something (such as buildings
architectural,of or pertaining to the art and science of architecture
architecturally,Not found
architecture,an architectural product or work
architectures,an architectural product or work
architrave,the molding around a door or window
architraves,the molding around a door or window
archival,of or relating to or contained in or serving as an archive
archive,a depository containing historical records and documents
archived,put into an archive
archives,a depository containing historical records and documents
archiving,put into an archive
archivist,a person in charge of collecting and cataloguing archives
archivists,a person in charge of collecting and cataloguing archives
archivolt,not found
archivolts,not found
archly,Not found
archway,a passageway under a curved masonry construction
archways,a passageway under a curved masonry construction
arcing,form an arch or curve
arcs,electrical conduction through a gas in an applied electric field
arctic,the regions to the north of the Arctic Circle centered on the North Pole
arden,not found
ardency,not found
ardennes,a wooded plateau in the Champagne-Ardenne region of France; the site of intense fighting in World War I and World War II
